training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
287.2614,0.10243879,-7.6038465,0.06308465,1.0,11.833883,-2.3523347,113.66199,1.2801712,0.14086795,-24.961634,-69.63544,1.9732103,-24.480238,-69.31823,0.15069804,0.42804837,-24.343195,-114.49704,0.3561135,297.06424,0.10534312,-7.67029,0.079695456,1.0,1.3328073,0.29063368,-25.1274,-68.05598,2.6875987,-24.660908,-67.95309,0.1655176,0.6364443,-24.469286,-76.92879,0.42842883,220000
281.63666,0.13129766,-7.565925,0.05360429,1.0,3.6469865,-6.1615615,107.88843,1.1269941,0.0,-25.563105,-69.6497,1.4039762,-25.126019,-69.20618,0.123860836,0.5310408,-26.562832,-137.34341,0.26035687,284.82367,0.11781955,-7.6762753,0.08119182,1.0,1.3555555,0.025321603,-25.730453,-69.930756,1.9156351,-25.314941,-69.62535,0.18669075,0.8077233,-26.655128,-103.94345,0.40075362,240000
285.74637,0.11229372,-7.588355,0.059211824,1.0,3.7153764,-6.8159,117.94971,1.4244742,0.11131954,-25.999226,-70.23605,1.7222102,-25.544304,-69.40658,0.13873662,1.0632181,-26.888617,-128.84691,0.34088165,295.76096,0.14884187,-7.6786304,0.081780545,1.0,1.3929188,0.5146539,-26.41892,-69.84323,1.8510914,-25.98616,-69.41943,0.2253026,0.74029624,-27.552525,-96.70099,0.30387262,260000
303.6614,0.15881336,-7.570381,0.054718234,1.0,2.8671982,-2.1309402,93.51448,1.0561912,0.0,-26.563704,-71.4179,1.3359859,-26.103157,-71.12681,0.13981208,0.32089093,-27.89321,-136.99802,0.35262358,300.59186,0.20122823,-7.6635604,0.078013174,1.0,1.444308,1.4102566,-26.845078,-70.40917,2.6580954,-26.417051,-70.07915,0.20685649,1.4341697,-27.743832,-99.49664,0.5630028,280000
296.0222,0.15935148,-7.5765686,0.056265008,1.0,3.0671606,-5.693851,107.584076,1.0254459,0.67560816,-25.85249,-71.40261,1.4495535,-25.403282,-71.11023,0.15579459,0.41528141,-26.974888,-130.81262,0.48444182,293.7131,0.1378309,-7.651733,0.075056195,1.0,1.4480265,0.33158028,-26.64532,-71.25715,1.5520449,-26.199018,-71.013695,0.20418079,1.0836035,-27.481146,-105.41767,0.40046895,300000
309.2528,0.18788332,-7.574176,0.05566691,1.0,3.532098,-6.4190736,103.52415,1.0877866,0.814577,-24.857216,-71.96455,1.6871791,-24.411676,-71.67869,0.13453643,8.925295,-26.070393,-119.20413,0.30271363,311.59924,0.17394641,-7.6712236,0.07992893,1.0,1.5380881,0.63731015,-25.45739,-72.19127,1.811862,-24.9999,-72.5314,0.19651935,0.77395874,-26.795877,-106.04833,0.4212528,320000
303.74173,0.1461133,-7.575535,0.056006715,1.0,3.3664987,-5.3909707,118.146805,1.0513871,0.0,-27.547012,-72.78277,1.6811423,-27.110493,-72.506744,0.1703653,0.5513967,-28.900354,-121.99104,0.4926086,294.37915,0.1641162,-7.669293,0.079446256,1.0,1.4880075,0.45745194,-27.232748,-72.25382,3.4157841,-26.760643,-71.97215,0.19825014,0.40886813,-28.399197,-109.29715,0.52429974,340000
309.84686,0.1623013,-7.579088,0.056895014,1.0,2.8951619,-2.088929,90.605194,0.9955406,1.3590822,-26.429138,-70.31887,1.7113287,-26.025412,-70.01764,0.12955968,0.45966992,-27.65411,-123.716324,0.2904515,316.7779,0.14876571,-7.65875,0.076810524,1.0,1.4467151,0.77093685,-27.962742,-71.629135,2.0132227,-27.534782,-71.20814,0.20237623,1.4301932,-29.03511,-109.089775,0.3273284,360000
286.37375,0.13244963,-7.5680485,0.05413504,1.0,4.862634,-5.7460814,106.171074,0.9937825,0.71638334,-27.700832,-71.42834,1.4587538,-27.26198,-71.14252,0.1120278,1.0082545,-28.22035,-117.47118,0.40579543,294.30035,0.14236513,-7.6650815,0.078393325,1.0,1.4798868,1.4140272,-26.471767,-72.26316,2.3328714,-26.024239,-72.00673,0.24039637,1.3673334,-26.922096,-107.3928,0.3528378,380000
294.78525,0.15001126,-7.561493,0.052496277,1.0,3.0021453,-3.390358,107.549034,1.1104041,0.35369384,-26.748373,-73.37766,1.9189672,-26.332527,-73.10775,0.117861554,0.50193286,-27.144926,-132.21558,0.4720618,275.67715,0.10083138,-7.691316,0.08495199,1.0,1.6439713,1.0543885,-28.177052,-72.91874,2.7089968,-27.720015,-72.658295,0.2126415,1.317142,-28.30139,-107.85957,1.6301044,400000
296.29327,0.18708773,-7.5784273,0.056729756,1.0,1.9316235,-4.5518827,90.96884,1.1601344,0.8188292,-26.958439,-72.71871,1.4294941,-26.528496,-72.439606,0.12243334,0.49442697,-27.334057,-120.4519,0.42920846,303.77142,0.16896333,-7.6834774,0.082992285,1.0,1.442344,0.9686533,-26.733967,-73.71532,2.0023031,-26.299133,-73.35794,0.1678153,1.3019902,-26.702026,-106.41313,0.36940837,420000
287.79794,0.1466696,-7.577737,0.056557126,1.0,2.1386435,-3.7324872,100.488815,1.0949286,5.015189,-27.343388,-72.22795,8.216814,-26.939167,-71.86911,0.12603435,0.4058045,-28.477898,-122.482254,0.29410553,289.7177,0.10097116,-7.6558666,0.0760896,1.0,1.4393454,1.1756744,-27.607395,-71.71027,2.5567708,-27.16492,-71.39921,0.26638502,1.4692073,-27.831556,-105.289764,0.5386038,440000
289.8855,0.12549958,-7.569304,0.05444898,1.0,3.5560198,-3.560437,98.09231,1.0913107,2.6077764,-27.446068,-72.72398,4.2962456,-27.023857,-72.63135,0.1436872,0.5689698,-28.574333,-112.83292,0.29863697,302.4049,0.14916337,-7.6566286,0.07628008,1.0,1.6877687,0.717577,-27.373026,-73.72399,2.4739838,-26.96352,-73.40537,0.22057459,1.8156221,-27.99184,-105.15816,1.0632861,460000
288.38043,0.14331917,-7.563049,0.05288522,1.0,2.512305,-4.1566997,109.06891,1.2799006,0.18169677,-27.837967,-74.35893,1.9428785,-27.37391,-74.1068,0.15447274,0.46847916,-28.7949,-111.99799,0.43822426,296.6004,0.14611477,-7.672229,0.080180146,1.0,1.4807036,1.2046225,-27.550571,-73.35417,2.2866936,-27.105148,-72.91147,0.21913931,0.93846023,-28.063757,-106.19647,0.5643773,480000
282.7247,0.11743358,-7.5740123,0.055626012,1.0,3.1113577,-2.6688519,96.48439,1.1364589,0.706658,-28.50683,-74.62237,1.7706552,-28.099377,-74.36876,0.12945583,0.33413285,-29.024359,-118.08444,0.32166404,323.5892,0.2063459,-7.6599503,0.07711062,1.0,1.4442463,0.6661521,-28.774323,-72.49898,1.5792589,-28.324533,-72.43219,0.21898843,1.3360299,-28.805742,-103.55362,0.40137988,500000
285.88165,0.14578979,-7.556535,0.051256686,1.0,3.579176,-2.8408983,116.38732,1.1977234,1.2331402,-27.327892,-73.12135,2.5961542,-26.906563,-72.85051,0.16304067,0.48953348,-27.89665,-115.31323,0.49010313,298.48752,0.1813442,-7.6712294,0.07993028,1.0,1.8852962,1.477251,-28.246357,-71.37259,3.0326457,-27.81752,-71.12688,0.21971004,0.9347799,-28.433083,-105.33801,0.63005066,520000
297.0361,0.16452083,-7.572591,0.055270717,1.0,8.296306,-3.3227696,135.23506,1.1311716,0.63449335,-29.03396,-74.66861,2.1989655,-28.640064,-74.41043,0.15153176,0.92817354,-29.640545,-115.88298,0.5896635,303.11426,0.14639102,-7.670068,0.079640016,1.0,1.549532,0.741838,-28.665735,-73.815956,1.6960745,-28.306248,-73.56179,0.24388081,0.71290827,-28.56357,-104.208435,0.72593534,540000
